recorded_date_time,timezone,sensor_name_serial_number,gain_setting,battery_voltage,tempeature_celcius
2021-01-16T17:01:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,3.6
2021-01-16T17:16:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,4
2021-01-16T17:31:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,4.4
2021-01-16T17:46:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,4.5
2021-01-16T18:01:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,4.2
2021-01-16T18:16:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,4.7
2021-01-16T18:31:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,4.8
2021-01-16T18:46:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,4.8
2021-01-16T19:01:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,4.7
2021-01-16T19:16:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,5.5
2021-01-16T19:31:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,6
2021-01-16T19:46:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,5.6
2021-01-16T20:01:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,5.8
2021-01-16T20:16:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,5.8
2021-01-16T20:31:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,5.8
2021-01-16T20:46:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,5.5
2021-01-16T21:01:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,6.1
2021-01-16T21:16:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,6.3
2021-01-16T21:31:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,6.1
2021-01-16T21:46:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,6.3
2021-01-16T22:01:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,5.5
2021-01-16T22:16:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,5.5
2021-01-16T22:31:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,6.3
2021-01-16T22:46:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,6.1
2021-01-16T23:01:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,6.6
2021-01-16T23:16:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,6.3
2021-01-16T23:31:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,5.8
2021-01-16T23:46:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,5.6
2021-01-17T00:00:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,5.6
2021-01-17T00:15:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,5.5
2021-01-17T00:30:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,5.3
2021-01-17T00:45:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,5.6
2021-01-17T01:00:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,5.2
2021-01-17T01:15:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,5.3
2021-01-17T03:01:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,4.5
2021-01-17T15:01:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,4.2
2021-01-17T15:16:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,4.4
2021-01-17T15:31:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,3.6
2021-01-17T15:46:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,4
2021-01-17T16:01:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,3.6
2021-01-17T16:16:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,3.9
2021-01-17T16:31:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,4
2021-01-17T16:46:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,4
